,0
0,564170.8040966921
1,807444.881802496
2,818267.0354131196
3,842270.2915027024
4,851269.3722956429
5,853567.2472712301
6,855983.4308672771
7,846374.4234655872
8,847976.2394956902
9,885408.2270826981
10,877821.440220084
11,877133.4934810337
12,895052.81877318
13,868788.8174450815
14,874542.0862847242
15,877989.5351487342
16,874715.1713188221
17,880574.0170031806
18,864129.5948597183
19,868205.8657534665
20,880607.6251646491
21,902564.1269668879
22,905076.0579613259
23,902578.537037228
24,925802.6584295306
25,929581.9794659242
26,914379.4116272852
27,925185.036510177
28,926614.4557940408
29,933025.5816013798
30,935533.9539451464
31,928477.5037280658
32,954947.7412325605
33,944353.2221328258
34,937957.6827632952
35,914215.0830086137
36,844805.6945557917
37,825353.1746686865
38,856675.1495692539
39,828782.0437524044
40,801311.2230181568
41,790309.5340118406
42,798851.9977453677
43,793678.5816164028
44,808997.0939219861
45,803241.9326225235
46,810708.8584568298
47,813846.4835970632
48,820730.8509395975
49,822941.0808758694
50,777868.1069495756
51,798926.4736726565
52,787450.6669404667
53,795473.2967383151
54,794489.4318712454
55,845413.7738776791
56,830852.8396054525
57,861636.0877862913
58,891859.2459626329
59,904910.3996784973
60,921414.0911430466
61,905549.5357729871
62,898385.7412454356
