,date,assets
0,0,1201032.7094885467
1,20121102,1203681.5266523815
2,20121105,1203681.5266523815
3,20121106,1203681.5266523815
4,20121107,1203681.5266523815
5,20121108,1203681.5266523815
6,20121109,1203554.7908517816
7,20121112,1203559.0164319887
8,20121113,1203543.2721786695
9,20121114,1203475.010237963
10,20121115,1203471.0843843492
11,20121116,1203471.0843843492
12,20121119,1203471.0843843492
13,20121120,1203601.7011581932
14,20121121,1204147.8753786376
15,20121123,1204305.0802955858
16,20121126,1204586.2049384797
17,20121127,1204523.1017927497
18,20121128,1205523.0773587436
19,20121129,1206230.923413114
20,20121130,1206402.3462412783
21,20121203,1205911.2927014306
22,20121204,1206274.517984847
23,20121205,1206528.0116674625
24,20121206,1206428.9697949067
25,20121207,1206394.2108399135
26,20121210,1205078.3839728034
27,20121211,1205590.7776658598
28,20121212,1205820.330880396
29,20121213,1205713.8518866925
30,20121214,1205319.995968492
31,20121217,1206149.713046279
32,20121218,1207606.0227853137
33,20121219,1206798.0135587833
34,20121220,1207560.0995562049
35,20121221,1206691.8460393604
36,20121224,1207065.2040081357
37,20121226,1204967.5248294007
38,20121227,1204894.4876381978
39,20121228,1203867.822025893
40,20121231,1205095.5280574877
41,20130102,1207131.721442535
42,20130103,1207497.749726196
43,20130104,1207742.8711383755
44,20130107,1211125.6641573026
45,20130108,1210341.9698554089
46,20130109,1210307.0715709976
47,20130110,1210103.3293216825
48,20130111,1210775.694797666
49,20130114,1212290.578038295
50,20130115,1211998.188707984
51,20130116,1210652.112231981
52,20130117,1211352.1223604004
53,20130118,1212058.4763188306
54,20130122,1211292.0042094109
55,20130123,1210554.8043849822
56,20130124,1212175.5138441608
57,20130125,1215267.283644921
58,20130128,1213458.6505028517
59,20130129,1211094.9103193325
60,20130130,1212769.7664352653
61,20130131,1212486.5370845818
62,20130201,1212392.3594676994
