,date,assets
0,0,1000000.0
1,20090105,1000000.0
2,20090106,1000015.0877969648
3,20090107,999942.8680964322
4,20090108,1000023.051388441
5,20090109,999936.4037943543
6,20090112,999928.2023445346
7,20090113,1000007.4011458167
8,20090114,999846.8565993247
9,20090115,999880.3341581331
10,20090116,999984.5341650809
11,20090120,999625.2776238045
12,20090121,999931.0611492066
13,20090122,999310.3867910476
14,20090123,999340.5027672951
15,20090126,999522.1295655469
16,20090127,999531.2606680881
17,20090128,999642.2589773275
18,20090129,999527.9962665158
19,20090130,999392.9034152752
20,20090202,999613.6134410802
21,20090203,999866.3830555226
22,20090204,999904.360416035
23,20090205,1000058.4539935526
24,20090206,1000304.1463603536
25,20090209,1000232.133488919
26,20090210,1000009.2067137833
27,20090211,1000127.5450101565
28,20090212,1000142.3992640488
29,20090213,1000102.776415675
30,20090217,999971.5575289181
31,20090218,999976.947674665
32,20090219,999911.9701797379
33,20090220,999942.4301067755
34,20090223,999605.9919468699
35,20090224,999589.1027428441
36,20090225,999515.5420661307
37,20090226,999286.9908465504
38,20090227,999190.9107001084
39,20090302,999046.0124525997
40,20090303,999084.5714301732
41,20090304,999206.060842543
42,20090305,998835.5349641676
43,20090306,998839.5980858548
44,20090309,998783.8494155274
45,20090310,999438.6467230123
46,20090311,999718.8586521466
47,20090312,999680.6257362766
48,20090313,999559.0305587202
49,20090316,999397.3273557478
50,20090317,999613.4809687609
51,20090318,999635.3780813626
52,20090319,999712.5478109383
53,20090320,999677.0652942329
54,20090323,1000139.3571426008
55,20090324,1000022.663456141
56,20090325,1000009.3518500752
57,20090326,1000207.7355231199
58,20090327,1000005.7527842196
59,20090330,999768.211987649
60,20090331,1000085.5725949077
61,20090401,1000491.6828143053
62,20090402,1000483.0653542139
63,20090403,1000289.1032661425
64,20090406,1000292.0247631158
65,20090407,1000291.9690160066
66,20090408,1000498.7925571492
67,20090409,1000765.9888618257
68,20090413,1000723.6418980799
69,20090414,1000600.4386174313
70,20090415,1000292.3546695639
71,20090416,1000797.0249226589
72,20090417,1000492.2789196599
73,20090420,1000157.3680937396
74,20090421,1000370.009360433
75,20090422,1000248.9776597113
76,20090423,1000327.0206397739
77,20090424,1001515.3579746591
78,20090427,1001224.8962760426
79,20090428,1000968.4097792483
80,20090429,1001153.0556531093
81,20090430,1001158.4076785798
82,20090501,1001145.9410175077
83,20090504,1001119.7441384132
84,20090505,1000945.2171003107
85,20090506,1000943.9406033907
86,20090507,1000736.4433568608
87,20090508,1000771.130860652
88,20090511,1000737.041099001
89,20090512,1000970.7816053077
90,20090513,1000914.8394147577
91,20090514,1001060.342305185
92,20090515,1001143.9131017363
93,20090518,1001372.648323477
94,20090519,1001278.3060436661
95,20090520,1001320.1592431572
96,20090521,1000988.5411334555
97,20090522,1000940.1713014694
98,20090526,1001365.6540608122
99,20090527,1001200.4980090801
100,20090528,1001458.086604671
101,20090529,1001842.6629501857
102,20090601,1002275.032316914
103,20090602,1002273.377873914
104,20090603,1002557.0886435786
105,20090604,1002644.7868791361
106,20090605,1002932.4594378925
107,20090608,1002841.8194318883
108,20090609,1002872.2054933754
109,20090610,1003392.3690899115
110,20090611,1003721.9616118772
111,20090612,1004312.7878259332
112,20090615,1004416.646637285
113,20090616,1004447.3072769712
114,20090617,1004687.5024267659
115,20090618,1004492.7366515264
116,20090619,1005124.3914631917
117,20090622,1004265.8283381949
118,20090623,1004333.8217300734
119,20090624,1004482.5273194702
120,20090625,1004857.4480845287
121,20090626,1004373.264476746
122,20090629,1004891.1029693935
123,20090630,1004796.5304001992
124,20090701,1005097.4921942471
125,20090702,1004292.4487913923
126,20090706,1004094.0254122773
127,20090707,1003338.5952672724
128,20090708,1003372.9631975536
129,20090709,1003230.3434334252
130,20090710,1003170.9688803729
131,20090713,1004101.1367741185
132,20090714,1003956.9262379449
133,20090715,1005231.8162402177
134,20090716,1005644.1717695987
135,20090717,1005454.3439181981
136,20090720,1005742.7678900473
137,20090721,1006104.0954956765
138,20090722,1006068.2647771027
139,20090723,1006878.0420248029
140,20090724,1004727.3503368009
141,20090727,1004355.4334181624
142,20090728,1004755.6163802313
143,20090729,1005095.6469197649
144,20090730,1005104.9385248687
145,20090731,1004770.6624568716
146,20090803,1005101.2712761523
147,20090804,1005037.4251665954
148,20090805,1005079.4589769329
149,20090806,1004681.7600382183
150,20090807,1004800.7751838497
151,20090810,1004636.6309400711
152,20090811,1004303.7042170488
153,20090812,1004780.4877110184
154,20090813,1004892.4928423779
155,20090814,1004981.804510543
156,20090817,1004383.7196040751
157,20090818,1004988.2731198289
158,20090819,1005077.4878484292
159,20090820,1005103.0990035869
160,20090821,1006128.4061055561
161,20090824,1006431.5426757572
162,20090825,1006430.3394356369
163,20090826,1006297.7988879241
164,20090827,1006501.3640911556
165,20090828,1006485.6783792072
166,20090831,1006444.7482438643
167,20090901,1005643.8633624045
168,20090902,1005480.790850946
169,20090903,1005763.6653779489
170,20090904,1006346.0277341354
171,20090908,1006576.6778188882
172,20090909,1006527.5652587053
173,20090910,1006801.8766230139
174,20090911,1006622.0237626908
175,20090914,1006802.5367684725
176,20090915,1007074.4530863942
177,20090916,1007072.4939093943
178,20090917,1007207.4479735737
179,20090918,1007147.6047173309
180,20090921,1007205.915768403
181,20090922,1007934.4610476801
182,20090923,1007839.8875818639
183,20090924,1008189.788720886
184,20090925,1007590.1856870259
185,20090928,1007996.7228651136
186,20090929,1007884.0632897674
187,20090930,1007838.4819402645
188,20091001,1006616.7787645375
189,20091002,1006737.396993219
190,20091005,1006270.082682519
191,20091006,1006954.8383900552
192,20091007,1006937.5232697832
193,20091008,1007854.737412374
194,20091009,1007649.9118106131
195,20091012,1007926.3533634971
196,20091013,1008075.645158234
197,20091014,1008335.5914066649
198,20091015,1009663.0570226784
199,20091016,1009291.1167042069
200,20091019,1009048.9522796051
201,20091020,1009065.5528555628
202,20091021,1009434.5479027064
203,20091022,1009450.9252955151
204,20091023,1012194.9668777006
205,20091026,1013422.6365670187
206,20091027,1013251.7242605217
207,20091028,1012127.7806598895
208,20091029,1012521.347959783
209,20091030,1011556.252594021
210,20091102,1011837.8668001299
211,20091103,1011190.9907896721
212,20091104,1012177.9003959129
213,20091105,1012935.1298250061
214,20091106,1013023.0721378003
215,20091109,1013879.030254754
216,20091110,1013911.6757327957
217,20091111,1014109.9784404119
218,20091112,1014555.275914367
219,20091113,1015034.15762432
220,20091116,1014870.2202250178
221,20091117,1015900.050227151
222,20091118,1016081.5379343693
223,20091119,1015532.4646891332
224,20091120,1015271.786676109
225,20091123,1015802.964794369
226,20091124,1015753.056269027
227,20091125,1015551.0595209666
228,20091127,1014581.1320843109
229,20091130,1014908.8100453537
230,20091201,1015897.1704609506
231,20091202,1015497.1093846209
232,20091203,1015585.1561809978
233,20091204,1015852.8733114867
234,20091207,1015505.8891424304
235,20091208,1015107.8086813488
236,20091209,1015351.235751426
237,20091210,1015624.4219060035
238,20091211,1015589.3770382799
239,20091214,1016007.7861777248
240,20091215,1015865.151768938
241,20091216,1015994.7436701463
242,20091217,1015128.734282123
243,20091218,1016498.5252365943
244,20091221,1016793.6943459124
245,20091222,1017324.4500947351
246,20091223,1017498.4033756307
247,20091224,1017638.8405216958
248,20091228,1017948.9139661499
249,20091229,1018339.456994118
250,20091230,1017551.1110907971
251,20091231,1016688.2313667384
252,20100104,1017505.3359925257
253,20100105,1017522.4403353981
254,20100106,1017175.641958784
255,20100107,1016568.2654517344
256,20100108,1016953.6064556773
257,20100111,1016246.8870684322
258,20100112,1015877.113758618
259,20100113,1016369.12780172
260,20100114,1017428.9515024691
261,20100115,1017244.8392317409
262,20100119,1017672.5986980879
263,20100120,1016799.0129541163
264,20100121,1015828.7320464831
265,20100122,1014024.456215142
266,20100125,1014637.5177765577
267,20100126,1014955.9771104115
268,20100127,1015269.9184624639
269,20100128,1014324.4911544719
270,20100129,1012453.9520904251
271,20100201,1012872.4139489499
272,20100202,1012964.8770606273
273,20100203,1013283.0374806285
274,20100204,1011862.4527426002
275,20100205,1012195.013713093
276,20100208,1011625.8761205081
277,20100209,1012195.5226112643
278,20100210,1012152.3538720985
279,20100211,1012426.7963678126
280,20100212,1012005.4583415319
281,20100216,1013253.9901321183
282,20100217,1013778.4479882942
283,20100218,1014639.9239366606
284,20100219,1014177.4293968815
285,20100222,1014085.4653688497
286,20100223,1013204.1978086708
287,20100224,1013870.8349759445
288,20100225,1013799.4902748559
289,20100226,1013962.2153246662
290,20100301,1014806.2137556263
291,20100302,1013425.7374372067
