,date,rewards
0,20131104,-73411.46997722983
1,20131105,-398497.3974124342
2,20131106,544758.1755878329
3,20131107,-220747.3214527145
4,20131108,50730.615661557764
5,20131111,223262.89211643487
6,20131112,-604979.9480509683
7,20131113,253512.4380535744
8,20131114,51886.836107075214
9,20131115,-61481.51414652169
10,20131118,-304279.6679033041
11,20131119,110218.51042314991
12,20131120,-87735.46438036487
13,20131121,581746.9568758607
14,20131122,-173989.0675745122
15,20131125,-203348.36307539046
16,20131126,-146222.9150289409
17,20131127,-525193.3878706433
18,20131129,319837.63762971014
19,20131202,219112.2355370894
20,20131203,907657.2160759643
21,20131204,394429.750874348
22,20131205,76226.45482572913
23,20131206,141573.9062152356
24,20131209,-162774.1794273518
25,20131210,481938.14879175276
26,20131211,-446510.0853351429
27,20131212,-788.0
28,20131213,-381379.98284656927
29,20131216,328994.8063647896
30,20131217,-132665.6684383899
31,20131218,190616.6901998222
32,20131219,403996.1105080806
33,20131220,185039.90448524803
34,20131223,-87040.40771511942
35,20131224,205277.86221990362
36,20131226,161796.52404677495
37,20131227,230032.45531318337
38,20131230,-376619.44491455704
39,20131231,-274936.99602659047
40,20140102,-1366700.8341305666
41,20140103,-565494.3967032582
42,20140106,-220851.97152062505
43,20140107,41406.98653511703
44,20140108,-503785.00284392387
45,20140109,-74488.32145265862
46,20140110,119618.86874933168
47,20140113,-452049.0330806002
48,20140114,289493.66866116226
49,20140115,842203.6127776653
50,20140116,-153762.84093349427
51,20140117,38110.98679749295
52,20140121,374501.76436275244
53,20140122,689221.4513620585
54,20140123,200045.2440449968
55,20140124,-179350.90845413506
56,20140127,-452525.7115970291
57,20140128,613910.9691086151
58,20140129,27597.618162184954
59,20140130,269076.7770813033
60,20140131,-200270.88621638715
61,20140203,-295153.85886512697
