,0
0,0.0
1,130.67790040001273
2,-98.15360266063362
3,-198.40261570969597
4,1002.2168962084688
5,42.133567404933274
6,-18.775174958165735
7,360.9750294778496
8,-153.73053188854828
9,-168.6800782047212
10,9.40800265967846
11,-3.4290469950065017
12,0.0
13,137.73726041568443
14,-11.454704074654728
15,-154.62559949979186
16,-17.488999899942428
17,36.61059925472364
18,-26.258385489229113
19,587.2938276417553
20,278.60972522431985
21,1144.8980864062905
22,-481.27719942992553
23,436.73138751182705
24,-618.2565877195448
25,-563.0548867769539
26,-37.448084983974695
27,54.31284161377698
28,-10.364582899957895
29,-319.3068709601648
30,-52.582064114976674
31,-189.60806354973465
32,12.04341377876699
33,259.91763280471787
34,-285.86949503980577
35,737.1758914305829
36,916.2430087192915
37,-296.1581328995526
38,-69.73826397769153
39,104.80837272945791
40,-69.46599927451462
41,-5.801122473552823
42,-415.1171004003845
43,-808.9095766195096
44,113.36688629444689
45,187.2473325189203
46,466.6920370548032
47,-1278.6130686895922
48,-286.59897447377443
49,293.4650303530507
50,-403.38147371448576
51,-106.35741387680173
52,1150.065286649391
53,1281.720526195597
54,-1047.509263032116
55,922.1212360281497
56,-188.26053175516427
57,546.5888017420657
58,613.6170121096075
59,-1321.8468545582145
60,-720.8574603050947
61,-1256.907592606265
