,date,assets
0,0,1618334.6604758971
1,20140205,501163.4314286739
2,20140206,501841.3817563971
3,20140207,502563.60044441745
4,20140210,503037.46354479133
5,20140211,503763.1840427421
6,20140212,504331.914641874
7,20140213,504588.7642400495
8,20140214,504606.7454427723
9,20140218,504753.1485038522
10,20140219,504919.5541454408
11,20140220,505381.48688891705
12,20140221,505803.91609755385
13,20140224,505280.90511011204
14,20140225,504995.0700677741
15,20140226,504860.8732431323
16,20140227,505623.63180157996
17,20140228,506517.9437012408
18,20140303,505464.4830764566
19,20140304,506668.36333769973
20,20140305,506097.02219742525
21,20140306,506173.3036947913
22,20140307,505680.85400897753
23,20140310,505525.12150607235
24,20140311,505924.97103732894
25,20140312,506447.4441485814
26,20140313,505678.0849911466
27,20140314,505283.9951700216
28,20140317,505991.36302760855
29,20140318,509157.0538843029
30,20140319,508586.5036774856
31,20140320,510767.17627496866
32,20140321,510424.5368047376
33,20140324,511109.3452204941
34,20140325,510797.2520012504
35,20140326,509685.0494874788
36,20140327,508805.7670731308
37,20140328,510657.57722949196
38,20140331,511988.4435768947
39,20140401,512777.6997447859
40,20140402,512638.8875352121
41,20140403,511962.2888962719
42,20140404,509701.9117359016
43,20140407,509562.214575555
44,20140408,509600.07293820917
45,20140409,510812.7815459197
46,20140410,508734.7282413505
47,20140411,508462.3687145746
48,20140414,508407.66077917046
49,20140415,509341.7352514584
50,20140416,510463.1282483199
51,20140417,509751.58225417946
52,20140421,509614.8644119965
53,20140422,509710.7225979155
54,20140423,509134.1170880706
55,20140424,509470.90458270477
56,20140425,509571.3604582982
57,20140428,511509.675086788
58,20140429,510810.4148448917
59,20140430,510584.6804080425
60,20140501,509749.1171018401
61,20140502,509123.757771211
62,20140505,508620.9961454028
