,date,rewards
0,20120503,1769.849759700708
1,20120504,-7395.403341186931
2,20120507,5857.86459062784
3,20120508,2619.21923095081
4,20120509,-2052.3142619326245
5,20120510,2507.749486260349
6,20120511,-4576.989850575104
7,20120514,-757.9565554438159
8,20120515,3822.8284437283874
9,20120516,8738.589946789201
10,20120517,-2885.4378496531863
11,20120518,-11549.60498430999
12,20120521,6271.0012888030615
13,20120522,-5484.653407706413
14,20120523,3950.085813524667
15,20120524,-2632.9880877146497
16,20120525,-5892.489652046468
17,20120529,1352.8188854735345
18,20120530,-2882.5709682856686
19,20120531,-3383.349058423424
20,20120601,-4062.4390094445553
21,20120604,3371.2104621026665
22,20120605,-3627.0597248442937
23,20120606,4480.152243460761
24,20120607,-1177.6040554014035
25,20120608,1097.9117610380054
26,20120611,-6549.451725970488
27,20120612,-1714.1797101544216
28,20120613,-1816.6935286712833
29,20120614,-904.0488438676111
30,20120615,2441.4181558480486
31,20120618,2829.1947127454914
32,20120619,4591.644048270071
33,20120620,-1862.1281439268496
34,20120621,-5197.091410652269
35,20120622,2297.4559719322715
36,20120625,-4563.876581281191
37,20120626,1838.114446749445
38,20120627,2111.893832419999
39,20120628,-2485.947238039691
40,20120629,7420.522042530589
41,20120702,179.68528557568789
42,20120703,3707.255094113061
43,20120705,3653.1986847145017
44,20120706,-4059.111791671021
45,20120709,0.5556979107204825
46,20120710,-1767.4020704820286
47,20120711,-4835.528900777688
48,20120712,-322.5877669621259
49,20120713,2937.1181722511537
50,20120716,-893.8149672106374
51,20120717,913.3361799691338
52,20120718,1878.8292728988454
53,20120719,6125.204615899362
54,20120720,9152.961909333942
55,20120723,2248.4821476885118
56,20120724,-4266.170399939874
57,20120725,181.29891410749406
58,20120726,2613.2101541082375
59,20120727,10863.680881216656
60,20120730,-1420.9177605472505
61,20120731,355.7940828120336
