,tic,datadate,open,high,low,volume,adjcp,macd,rsi,cci,adx,turbulence
0,UCO2,20081125,22250.0,22250.0,21640.0,0,21730.0,0.0,100.0,66.66666666666677,100.0,0.0
1,UCO2,20081126,22620.0,27040.0,21680.0,0,24900.0,71.1217948717931,100.0,66.66666666666677,100.0,0.0
2,UCO2,20081128,23380.0,23600.0,21850.0,0,22400.0,13.098432998653152,55.07098783921404,-25.70806100217857,100.0,0.0
3,UCO2,20081201,21620.0,21890.0,19880.0,100,20020.0,-99.54173229400112,38.17816774237895,-102.98719772403982,36.05840352879986,0.0
4,UCO2,20081202,20660.0,20680.0,18100.0,100,18500.0,-219.1374074174746,31.744758169633002,-116.31853022058398,3.956962218383354,0.0
5,UCO2,20081203,18150.0,18790.0,17750.0,100,18120.0,-303.1605950248959,30.419087736555525,-105.63549160671468,0.9548754110926819,0.0
6,UCO2,20081204,17440.0,18200.0,15380.0,200,15700.0,-461.45372607451645,23.855905312174556,-122.81157270029658,26.19624334710165,0.0
7,UCO2,20081205,14830.0,15400.0,13480.0,300,14490.0,-617.7219355884881,21.460885110691592,-131.18680976823762,39.425578296977534,0.0
8,UCO2,20081208,15530.0,16040.0,14890.0,300,15920.0,-645.5883242144373,30.046944559159527,-87.41141034727141,30.972228684162328,0.0
9,UCO2,20081209,15480.0,15900.0,14260.0,200,14560.0,-726.016123224239,27.129056017453536,-90.00916590284139,35.11198821818291,0.0
10,UCO2,20081210,15520.0,16840.0,14240.0,600,15640.0,-716.4151300607773,32.51295496146108,-67.82113329300256,23.316313281173827,0.0
11,UCO2,20081211,16980.0,19000.0,16510.0,600,17850.0,-578.2320533918901,41.64035200469405,-16.861571933641425,1.5411845999327818,0.0
12,UCO2,20081212,16180.0,18060.0,15530.0,500,17740.0,-474.2949542702336,41.35237971109147,-32.38323984413391,9.30803648038452,0.0
13,UCO2,20081215,19790.0,19790.0,16070.0,600,16580.0,-457.5657077694523,38.45144757928929,-22.45436114844109,4.855106069985052,0.0
14,UCO2,20081216,17350.0,17600.0,15310.0,900,16130.0,-465.8149633141329,37.398588953759834,-51.154438811015055,1.1590622080128616,0.0
15,UCO2,20081217,15870.0,16680.0,14550.0,1300,15150.0,-525.6563366268165,35.2256232599549,-71.85297856549757,6.869155808413319,0.0
16,UCO2,20081218,14590.0,14590.0,12800.0,2200,13350.0,-676.162566047391,31.723376479366934,-115.13676513246189,18.463509320650434,0.0
17,UCO2,20081219,13180.0,13810.0,12810.0,1900,13600.0,-767.3628222832103,32.68496854723402,-110.80736012016521,18.46350932065042,0.0
18,UCO2,20081222,13640.0,13720.0,11850.0,1900,11890.0,-937.8119547688584,29.72293553512027,-124.01332427706407,24.365941171760383,0.0
19,UCO2,20081223,12350.0,12350.0,10780.0,2100,11410.0,-1089.1568246116967,28.960819578039207,-135.726327298881,30.37135768057333,0.0
20,UCO2,20081224,10660.0,10860.0,10340.0,1100,10690.0,-1240.6706645418944,27.852639767963552,-143.2340618276526,32.71962077074102,0.0
21,UCO2,20081226,10090.0,10600.0,9750.0,1600,10450.0,-1359.289554756022,27.489917000651957,-139.21659290574016,35.82208961238728,0.0
22,UCO2,20081229,11390.0,11860.0,10520.0,1900,11810.0,-1342.7738861484377,32.63281353451765,-105.65131844477335,22.885983297257397,0.0
23,UCO2,20081230,11320.0,11800.0,10810.0,700,11730.0,-1319.597231189613,32.49257484385254,-98.39027109427442,22.885983297257397,0.0
24,UCO2,20081231,11250.0,14890.0,11190.0,3000,13690.0,-1149.8270907631031,39.12320012030919,-57.010321274802685,3.0026142395303976,0.0
25,UCO2,20090102,14170.0,15850.0,13920.0,2100,15660.0,-865.8680240037374,44.764210734731904,-15.31025681569182,9.345296646154559,0.0
26,UCO2,20090105,15770.0,17540.0,15530.0,2100,17160.0,-528.1829114837146,48.52153744439882,20.796494121708385,19.278337091280125,0.0
27,UCO2,20090106,18350.0,18650.0,17030.0,2200,17500.0,-234.41186447042128,49.32974407366312,42.60190542567656,25.04460393394041,0.0
28,UCO2,20090107,17000.0,17050.0,13700.0,3200,13750.0,-272.80063484003404,41.835652509606966,-25.23362522159057,1.7382712893154006,0.0
29,UCO2,20090108,13500.0,13810.0,12610.0,3400,13710.0,-302.5082704820943,41.76563909733733,-58.74738059985279,4.490488322995951,0.0
30,UCO2,20090109,12820.0,13240.0,12140.0,4200,12950.0,-377.7902268379694,40.43556726754857,-69.73428312335683,7.111765703296973,0.0
31,UCO2,20090112,12000.0,12170.0,11510.0,5100,11700.0,-524.2539159928274,38.35719888958186,-91.22416140611467,10.62641441974536,0.0
32,UCO2,20090113,11860.0,12820.0,11580.0,6900,12430.0,-578.6184208911654,40.21370644094219,-73.114225210932,6.194809750117876,0.0
33,UCO2,20090114,12250.0,12310.0,11100.0,6100,12010.0,-645.7210916595832,39.50556130149627,-81.95646290603516,9.070220483690445,0.0
34,UCO2,20090115,11860.0,11860.0,10260.0,12000,11270.0,-746.1412882762925,38.277013917355426,-96.85561345669832,14.00156466827774,0.0
35,UCO2,20090116,11990.0,12030.0,10810.0,6100,11060.0,-831.8930214519769,37.93072732470383,-86.3448697691015,12.679545972523258,0.0
36,UCO2,20090120,10400.0,11700.0,10000.0,9200,10170.0,-956.6355348578072,36.48365596690196,-102.10095497953621,17.549447170584234,0.0
37,UCO2,20090121,10490.0,11820.0,10130.0,6000,11710.0,-926.4581022000784,40.543874006201,-77.5602302100739,16.520327722271368,0.0
38,UCO2,20090122,10780.0,11660.0,9900.0,9400,11080.0,-940.1580861469884,39.47595193826926,-83.79421406385617,17.991336335234944,0.0
